,Date,Agric eggs medium size,Agric eggs(medium size price of one),"Beans brown,sold loose",Beans:white black eye. sold loose,Beef Bone in,"Beef,boneless",Bread sliced 500g,Bread unsliced 500g,Broken Rice (Ofada),Chicken Feet,Chicken Wings,Evaporated tinned milk carnation 170g,"Evaporated tinned milk(peak), 170g",Frozen chicken,"Gari white,sold loose","Gari yellow,sold loose",Mudfish (aro) fresh,Mudfish : dried,Onion bulb,Rice agric sold loose,Rice local sold loose,Rice Medium Grained,"Rice,imported high quality sold loose",Tomato,Yam tuber,Dried Fish Sardine,Iced Sardine,Irish potato,Sweet potato,Tilapia fish (epiya) fresh,Titus:frozen,Catfish (obokun) fresh,Catfish :dried,Catfish Smoked,Mackerel : frozen,"Groundnut oil: 1 bottle, specify bottle",Maize grain white sold loose,Maize grain yellow sold loose,"Palm oil: 1 bottle,specify bottle",Plantain(ripe),Plantain(unripe),"Vegetable oil:1 bottle,specify bottle",Wheat flour: prepacked (golden penny 2kg),State,Month,Year,Region
1530,2018-07-01,446.8181818181818,39.75,448.2059694425189,412.17743356923364,902.641289621187,1092.875778868817,290.4166666666667,252.91666666666666,586.6211913086913,872.2222222222222,1074.074074074074,155.0,216.363636363636,1262.5,193.176916586606,221.52872777017785,1188.37299338703,2450.4568457857927,378.82873981759,305.1910400861446,363.6363636363637,294.21412720846075,382.4994741569102,579.0882029890889,329.726937856584,1333.3333333333335,585.1662404092071,384.1170323928945,113.30288760980223,994.871794871795,893.555030014995,1109.26123057271,2179.590017825312,1397.79411764706,924.20797547539,503.333333333333,190.304478509746,190.449937541159,501.44927536231893,242.97288943907765,198.869678159132,539.9999999999999,577.6190476190476,OGUN,7,2018,South_West
1531,2018-08-01,462.8,38.2,448.2062731658536,383.78143924458766,954.681693754582,1188.1109942316036,300.0,254.0,545.8144249862464,831.111111111111,1135.7142857142858,150.0,194.0909090909091,1302.22222222222,213.642931574119,218.32784793978826,1185.4816954751939,2617.83914590932,358.3200707338638,289.7453095951294,333.33333333333337,294.6349953147827,365.136476426799,409.062473474238,350.481963190217,1359.090909090909,554.5454545454545,360.7370081946353,121.47322983537791,881.8181818181818,851.635523592927,1143.48919054801,2179.590017825312,1460.29411764706,883.8790282399306,470.0,206.716370475555,204.862188140285,506.6666666666667,239.077872730132,178.389561959356,520.3703703703704,580.4545454545455,OGUN,8,2018,South_West
1532,2018-09-01,420.74074074074076,39.642857142857146,453.77896313229945,394.5759822635693,941.961346257014,1209.40750352737,296.1904761904762,253.04347826086956,482.8999946487159,851.3888888888889,1105.0,175.0,205.2,1297.77777777778,186.24008168175,235.682084799732,1173.7297789929369,2815.107274437418,360.75282072704556,299.5336158533025,334.05698778833107,272.5880887474994,373.50365019456973,385.90821138019516,403.637344151433,1341.19769119769,558.961038961039,360.744810744811,120.289193405767,907.50208855472,839.3597063968892,1202.48240923164,2168.77965172083,1501.9600987248,956.6761401586635,483.333333333333,218.9703095567,212.300131365958,505.64102564102575,276.920137457322,183.79527035858172,540.2666666666668,576.1904761904761,OGUN,9,2018,South_West
1533,2018-10-01,417.142857142857,39.77272727272727,458.13501857876327,395.7977679567558,867.668709933654,1170.5152298894668,297.5,256.1904761904762,473.8333739292819,820.0,1131.25,170.0,198.63636363636363,1300.0,165.56239099773762,190.91631882329557,1131.309280468196,2678.43567251462,357.375216428925,321.33093590148945,303.85487528344675,310.9195214807325,355.860215053763,352.019653976589,397.848033660067,1330.76923076923,544.2424242424242,355.757575757576,139.12911540103377,788.2450959462985,779.5150941911704,1145.09803921568,2140.633051159367,1574.07407407407,828.199741435036,463.809523809524,167.347871702027,168.9134159231,510.0,210.7835410986126,158.8084283599271,560.5797101449276,587.5,OGUN,10,2018,South_West
1534,2018-11-01,450.0,39.705882352941174,440.29937650153084,341.8103911616954,773.1888168028795,1179.1598517988584,302.10526315789474,252.10526315789474,502.169117647059,750.0,1058.3333333333333,200.0,217.22222222222223,1316.66666666667,142.5522956872,176.90152984270634,1039.2366302945425,2630.87719298246,452.04644395915255,306.2271594894756,300.0,290.0530664865757,349.2063492063492,324.457723830273,359.926079949581,1348.57142857143,558.545454545455,322.234432234432,139.598092105396,802.0,754.4505407802088,905.24064171123,2268.18181818182,1520.0,892.645718643059,477.77777777778,157.626742143311,151.325864722942,474.5098039215687,267.185701752921,186.95868234329777,520.8333333333333,586.7647058823529,OGUN,11,2018,South_West
1535,2018-12-01,421.578947368421,39.5,426.3272388609491,371.0081183753176,859.7425787722506,1216.3423397240424,300.7142857142857,254.0909090909091,507.2435663228502,633.333333333333,1091.6666666666667,165.0,203.0,1490.0,132.40150410409663,186.14458158382183,1029.74466945999,2509.09090909091,307.675733131996,328.1131644741446,304.785165083672,300.569652755025,312.5,260.01687282425513,319.928724943684,1222.127872127872,600.0,289.3695014662756,119.11327351834689,832.30380730381,784.57867310297,931.3725490196078,2014.26024955437,1516.23093681917,813.5077276524645,473.333333333333,164.34518619202422,132.08791860351883,488.8888888888889,188.8207301124033,164.3394561091737,509.019607843137,567.352941176471,OGUN,12,2018,South_West
1536,2019-01-01,428.42105263157896,39.96229632383829,439.9505954201689,368.8718841382543,875.0,1167.9446270386263,296.6570471715177,253.98196471222977,515.0824383335804,700.0,1089.3715137171594,175.65248787413418,230.0,1312.1934276610482,127.707082833133,174.10841560447,1161.1538389481939,2458.18181818182,305.263157894737,351.292433051843,344.9776000052672,291.6162520215726,338.862747225427,250.527211883401,315.384615384615,1136.36363636363,591.1462246899388,269.230769230769,121.20420050664664,851.176470588235,806.1333145770371,974.117647058824,1988.88888888888,1479.3224809376143,815.384615384615,453.33333333333,151.354148766435,152.628253058086,444.4444444444444,171.428571428571,148.976377952756,538.4131734838144,610.0,OGUN,1,2019,South_West
1537,2019-02-01,425.227272727273,39.23913043478261,415.709848188181,377.934934900013,761.6419861891502,1102.84643845323,300.0,264.375,470.23863514423715,825.0,1123.3333333333333,175.0,207.91666666666666,1390.625,135.36840533442376,168.95642701525057,1125.3833629821256,2384.62254120149,296.909055723777,304.0151961201893,331.4628537982357,289.4571140751993,306.37254901960785,192.4277921654952,289.0580294399223,1346.3509941386,484.8484848484848,249.943719031247,113.46563757070282,830.62912452691,829.5128381541058,839.6374829001369,1850.58203991131,1508.08080808081,833.4499501168202,546.6666666666667,140.005066961269,123.41429586174765,412.380952380952,163.5386624787082,147.98830553837,524.2105263157895,598.5714285714286,OGUN,2,2019,South_West
1538,2019-03-01,418.095238095238,39.54545454545455,398.684152313223,375.34211326081,779.53173740875,1118.43446826146,293.409090909091,253.1818181818182,480.899696591433,807.5,1127.14285714286,173.333333333333,209.5,1400.55555555556,164.54323224948598,143.770739064857,1115.76314483516,2398.37425404945,286.6210919174,296.0263811888044,329.777250113071,277.2893380867242,324.45436507936506,189.619499567163,276.041214078913,1356.0,472.82608695652,241.404831727412,114.91045352543352,843.9856289754871,839.298927456287,849.7385620915,1860.51948051948,1513.85964912281,840.45180390997,533.3333333333334,131.974746856382,116.60335140137495,408.245614035088,160.619052218679,151.07955723659146,525.0,601.5,OGUN,3,2019,South_West
1539,2019-04-01,423.333333333333,39.75,360.165097218662,343.928044225408,792.032242190437,1120.5199257156319,293.75,251.57894736842104,499.9520826649558,866.666666666667,1133.3333333333333,200.0,203.0,1468.18181818182,181.05254451738264,195.78088760587846,1177.43486397184,2446.19883040936,249.4864079047679,307.32836234930375,355.7179027691768,286.4311946940186,318.3862433862434,209.882911760006,293.888466554791,1436.36363636364,695.0,252.222222222222,128.613422971749,845.717811600165,865.861610439641,899.81325863679,1871.71717171717,1541.66666666667,897.302697302697,480.0,124.59759951731999,161.6726592465506,417.2549019607844,205.381869599833,193.1225665173033,514.2857142857142,590.5555555555555,OGUN,4,2019,South_West
1540,2019-05-01,424.76190476190476,40.0,385.210833333333,377.64380952381,822.515625,1118.774242376391,296.1904761904762,253.04347826086956,502.2099999999999,854.285714285714,1120.76923076923,187.5,212.72727272727272,1422.85714285714,155.2352380952381,183.35250000000002,1122.67722222222,2423.4,235.0542857142857,300.9870588235294,377.77666666666664,301.248235294118,326.77,225.739130434783,276.586,1463.808,715.914,284.496,170.783636363636,860.074,827.4334999999999,845.516,1847.2720000000002,1562.8775,876.51357142857,493.336,124.53499999999998,133.20227272727274,421.9704545454546,240.08222222222219,188.0135294117647,478.7295238095238,560.789473684211,OGUN,5,2019,South_West
1541,2019-06-01,492.105263157895,39.0,308.1611498502435,292.56216900423334,837.5052148207003,1117.02855903715,300.0,257.72727272727275,500.0799232736572,820.0,1147.8787878787878,150.0,204.54545454545453,1476.66666666667,138.89695567252645,174.019232021968,1101.90662594781,2401.49122807018,312.832881838183,300.9372401791757,311.8881118881119,285.7082602592997,330.25,245.004877558722,268.4330318978643,1398.29361942405,748.809523809524,244.616432256882,139.5971004636495,861.65135677331,866.0146794388729,853.38293420135,1787.43145743146,1508.92255892256,850.4575944679646,514.6666666666667,129.6135967921605,136.15571643052087,434.6666666666667,252.13961673679046,174.520407259937,514.3859649122808,622.105263157895,OGUN,6,2019,South_West
1542,2019-07-01,451.6666666666667,38.0,258.5155936390009,247.95811870100945,851.689307926431,1146.19983070934,305.2631578947368,257.89473684210526,521.0883266350017,794.181818181818,1141.66666666667,170.0,205.55555555555554,1488.18181818182,184.06500993767483,182.8024232948994,1079.48781518096,2426.96741854637,288.04979318323,338.91829633281,348.48484848484856,284.2051903067428,351.666666666667,223.703087477146,257.30683573726,1375.757575757576,698.0,216.179831097864,126.35540518821156,832.86987522282,884.6691655523794,825.25756065138,1759.0855927698,1525.61327561328,840.1398601398602,518.888888888889,123.96592803766534,128.087583585053,452.6315789473685,202.15358317271048,202.71580187351452,525.4901960784313,590.0,OGUN,7,2019,South_West
1543,2019-08-01,434.5,39.21,272.25,214.48,800.11,1118.61,297.22,275.0,482.45,816.66,1100.0,170.0,210.0,1453.63,172.31,195.98,1034.5,2400.41,243.77,297.97,350.94,298.09,346.15,264.98,230.63,1384.44,666.66,230.92,140.96,860.23,934.73,851.13,1760.6,1509.35,791.71,485.33,127.96,130.08,470.17,199.84,169.08,525.49,576.25,OGUN,8,2019,South_West
1544,2019-09-01,426.1111111111111,36.8421052631579,282.604778802586,241.60584134539033,852.722732505968,1121.20384216377,311.1111111111111,275.0,476.092871521429,785.0,1137.5,175.0,208.0,1560.0,139.923182002286,205.14975220857573,1010.2953602996881,2384.23938634465,255.6375716313399,352.809280138891,319.386791286502,352.160090155821,361.764705882353,252.440672720785,230.652474888813,1423.3333333333335,694.4444444444445,251.252607042081,112.62202173861306,864.50127877238,897.83325761836,822.96181630547,1723.03693570451,1510.1010101010102,829.812623274162,516.666666666667,120.34294863824384,125.27355115978301,449.41176470588243,195.11986996266737,200.951114050752,519.0476190476189,578.125,OGUN,9,2019,South_West
1545,2019-10-01,466.8421052631579,38.94736842105263,228.16850000000005,230.2333333333333,857.501875,1135.694,305.5,268.1818181818182,478.420909090909,770.0,1155.71428571429,166.66666666666666,200.5,1555.55555555556,157.0831578947369,203.33999999999997,952.65235294118,2372.49166666667,228.883333333333,370.371428571429,328.228571428571,368.245,393.53,239.5625,204.785,1468.405,701.496666666667,223.7575,109.47238095238096,854.85,943.6372222222222,803.92,1670.908,1488.888,827.0063636363636,506.666,118.97700000000002,120.44749999999999,480.0,166.709,219.87470588235294,562.9616666666666,605.0,OGUN,10,2019,South_West
